Chinese,Pinyin,English
爱,ài,love
八,bā,eight
吧,ba,(interjection particle)
百,bǎi,hundred
班,bān,class
半,bàn,half
帮,bāng,help
包,bāo,package
杯,bēi,cup
北,běi,north
比,bǐ particle used for,comparison
病,bìng,disease
不,bù,No
菜,cài,dish
茶,chá,tea
差,chà differ,from; bad; short of
常,cháng,often
唱,chàng,sing
车,chē,car
吃,chī,eat
出,chū,out
穿,chuān,wear
床,chuáng,bed
从,cóng,from
错,cuò,wrong
大,dà,"large, big"
到,dào,reach
地,de auxiliary,word
的,de,(aux.)
地,dì,ground
点,diǎn,spot
电,diàn,electricity
东,dōng,east
动,dòng,move
都,dōu,all
读,dú,read
饿,è,hungry
二,èr,Two
饭,fàn,rice; meal
放,fàng,discharge
飞,fēi,fly
风,fēng,wind
干,gān,dry
干,gàn,do
高,gāo,high
歌,gē,song
个,gè,individual
给,gěi,give
跟,gēn,with
贵,guì,noble
国,guó,country; state; nation
过,guò,pass
还,hái,also; still; yet
号,hào,Number/date
喝,hē,drink
和,hé,and
很,hěn,very
后,hòu,back;  behind; after; later
话,huà,word; words
坏,huài,bad
还,huán,return; pay back
几,jǐ,several
记,jì,remember
家,jiā,home
间,jiān,between; measure word for rooms
见,jiàn,see; meet
教,jiāo,teach
进,jìn,enter
九,jiǔ,Nine
就,jiù as soon,as; right away; then
开,kāi,open
看,kàn,see
考,kǎo,test; examine
渴,kě,thirsty
课,kè,course
口,kǒu,mouth
块,kuài,block
快,kuài,fast
来,lái,come
了,le past tense,marker
累,lèi,tired
冷,lěng,cold
里,lǐ,in
六,liù,Six
楼,lóu,floor
路,lù,road
吗,ma auxiliary,word
买,mǎi,buy
慢,màn,slow
忙,máng,busy
没,méi,no
门,mén,door
拿,ná,take
哪,nǎ,which
奶,nǎi,milk
男,nán,Man
南,nán,south
难,nán,"hard, difficult"
呢,ne auxiliary,word
能,néng,can
你,nǐ,you
年,nián,year
您,nín,you
女,nǚ,woman
跑,pǎo,run
票,piào,ticket
七,qī,Seven
起,qǐ get,up; start; rise
前,qián,front
钱,qián,money
请,qǐng,please
球,qiú,ball
去,qù,go
热,rè,heat
人,rén,people
日,rì,date
肉,ròu,meat
三,sān,Three
山,shān,mountain
上,shàng,upper
少,shǎo,less
谁,shéi,who
十,shí,Ten
事,shì,thing
试,shì,try
是,shì,yes
手,shǒu,hand
书,shū,book
树,shù,tree
水,shuǐ,water
睡,shuì,sleep
说,shuō,speak
四,sì,Four
送,sòng,give
岁,suì,"year, age"
他,tā,he
她,tā,she
太,tài,too
天,tiān,day
听,tīng,hear
外,wài,"abroad, outside"
晚,wǎn,late
忘,wàng,forget
问,wèn,ask
我,wǒ,I
五,wǔ,Five
西,xī,west
洗,xǐ,wash
先,xiān,before
想,xiǎng,think
小,xiǎo,Small
笑,xiào,laugh
写,xiě,write
新,xīn,new
行,xíng,That's ok
学,xué,learn; study
也,yě,also
页,yè,page
一,yī,One
用,yòng,use
有,yǒu,have
右,yòu,right
雨,yǔ,rain
元,yuán,element; Yuan
远,yuǎn,far
月,yuè,month
再,zài,again
在,zài,stay; in process of
早,zǎo,early
找,zhǎo  look,for
这,zhè Here,(here)
着,zhe in process,of
真,zhēn,really
中,zhōng,middle; in
重,zhòng,heavy
住,zhù,live
字,zì,"word, character"
走,zǒu,"go, walk"
最,zuì,most
左,zuǒ,left
坐,zuò,sit
做,zuò,do
